code,name,lat,lon,population,tt_tram_1950s_min,tt_full_1957_min,tt_modern_min,tt_walk_min
E01007317,Barnsley 018A,53.540037,-1.449017,1521,475.9,475.9,109.3,475.9
E01007318,Barnsley 018B,53.543637,-1.455196,1592,468.2,468.2,106.9,468.2
E01007319,Barnsley 015A,53.543229,-1.42639,1424,476.0,476.0,116.7,476.0
E01007320,Barnsley 018C,53.544784,-1.447388,1712,467.9,467.9,109.3,467.9
E01007321,Barnsley 015B,53.546986,-1.423862,1410,470.1,470.1,119.1,470.1
E01007322,Barnsley 015C,53.547433,-1.449911,2117,462.6,462.6,108.7,462.6
E01007323,Barnsley 007A,53.586784,-1.479603,1539,386.7,386.7,125.3,386.7
E01007324,Barnsley 007B,53.580865,-1.479039,1645,397.4,397.4,119.3,397.4
E01007325,Barnsley 007C,53.583205,-1.474069,1630,394.1,394.1,121.9,394.1
E01007326,Barnsley 007D,53.577436,-1.470563,1696,405.1,405.1,121.7,405.1
E01007327,Barnsley 007E,53.577275,-1.463709,1670,406.8,406.8,126.9,406.8
E01007328,Barnsley 006A,53.58482,-1.379788,2102,421.8,421.8,124.8,421.8
E01007329,Barnsley 003A,53.596187,-1.410731,1576,390.1,390.1,136.0,390.1
E01007330,Barnsley 006B,53.594927,-1.381726,1773,404.3,404.3,119.4,404.3
E01007331,Barnsley 003B,53.592058,-1.406575,1819,398.6,398.6,128.5,398.6
E01007332,Barnsley 006C,53.576543,-1.379593,2417,435.6,435.6,126.5,435.6
E01007333,Barnsley 006D,53.573013,-1.371441,1487,444.9,444.9,130.9,444.9
E01007334,Barnsley 009A,53.563534,-1.463543,1297,431.2,431.2,119.1,431.2
E01007335,Barnsley 009B,53.560762,-1.459567,1403,436.9,436.9,116.6,436.9
E01007336,Barnsley 013A,53.55708,-1.478152,1509,439.9,439.9,105.3,439.9
E01007337,Barnsley 015D,53.550739,-1.470192,1812,452.6,452.6,103.7,452.6
E01007338,Barnsley 017A,53.547186,-1.47658,1580,457.8,457.8,98.2,457.8
E01007339,Barnsley 017B,53.546566,-1.470604,1478,460.0,460.0,99.0,460.0
E01007340,Barnsley 013B,53.546624,-1.483205,1876,457.8,457.8,105.3,457.8
E01007341,Barnsley 008A,53.565572,-1.40692,1292,443.4,443.4,135.6,443.4
E01007342,Barnsley 003C,53.585987,-1.411103,1264,407.2,407.2,123.1,407.2
E01007343,Barnsley 003D,53.582268,-1.413476,1461,412.6,412.6,123.3,412.6
E01007344,Barnsley 011A,53.57067,-1.431454,2626,426.7,426.7,118.7,426.7
E01007345,Barnsley 008B,53.577355,-1.413517,1602,421.0,421.0,122.4,421.0
E01007346,Barnsley 008C,53.572586,-1.418272,1593,427.6,427.6,123.1,427.6
E01007347,Barnsley 008D,53.568955,-1.412041,1806,435.9,435.9,132.4,435.9
E01007354,Barnsley 020G,53.555313,-1.35053,1641,483.3,483.3,137.1,483.3
E01007355,Barnsley 005A,53.588274,-1.515759,1436,379.3,379.3,128.8,379.3
E01007356,Barnsley 004A,53.590491,-1.501204,1438,376.8,376.8,142.2,376.8
